Name,long,lat,date,intensity,type,Country,daten
Pannier,20.9791382,44.2327226,1/7/2023,7,tornado,Serbia,2023-01-07 00:00:00
Zamit,120.946263,30.526435,2/16/2023,2,hurricane,China,2023-02-16 00:00:00
Bitchip,29.268579,49.4863064,11/16/2022,9,hurricane,Ukraine,2022-11-16 00:00:00
Ronstring,117.1514753,-0.5025568,4/28/2023,9,hurricane,Indonesia,2023-04-28 00:00:00
Aerified,86.358927,54.519499,11/10/2022,10,earthquake,Russia,2022-11-10 00:00:00
Lotlux,60.3414529,41.3895075,2/20/2023,8,earthquake,Uzbekistan,2023-02-20 00:00:00
Stringtough,112.8135304,-7.305958,5/20/2023,9,tornado,Indonesia,2023-05-20 00:00:00
Wrapsafe,0.4785495,6.6101493,5/18/2023,6,flood,Ghana,2023-05-18 00:00:00
Y-find,13.1611762,58.5033171,11/3/2022,7,flood,Sweden,2022-11-03 00:00:00
Otcom,-58.487763,-34.5795379,7/2/2023,8,tornado,Argentina,2023-07-02 00:00:00
Span,123.7330073,7.7762319,11/3/2022,6,hurricane,Philippines,2022-11-03 00:00:00
Aerified,85.7788422,51.8321777,2/14/2023,8,tornado,Russia,2023-02-14 00:00:00
Zaam-Dox,43.7557983,40.8428562,1/1/2023,8,hurricane,Armenia,2023-01-01 00:00:00
Domainer,132.5026207,35.1972586,1/29/2023,2,earthquake,Japan,2023-01-29 00:00:00
Flowdesk,-7.9720237,41.3199734,1/20/2023,6,tornado,Portugal,2023-01-20 00:00:00
Tin,-5.24798,34.94873,7/3/2023,1,hurricane,Morocco,2023-07-03 00:00:00
Gembucket,-80.5993854,41.1071733,4/10/2023,10,hurricane,United States,2023-04-10 00:00:00
Flexidy,72.8578648,29.2083348,8/8/2023,9,hurricane,Pakistan,2023-08-08 00:00:00
Toughjoyfax,-39.2617368,-12.9698503,5/6/2023,9,tornado,Brazil,2023-05-06 00:00:00
Andalax,-9.0817894,38.5537924,12/16/2022,5,hurricane,Portugal,2022-12-16 00:00:00
Cardify,-52.3375886,-31.7653989,8/8/2023,9,tornado,Brazil,2023-08-08 00:00:00
Bamity,-0.302506,45.417087,4/3/2023,3,hurricane,France,2023-04-03 00:00:00
Stringtough,97.910792,35.083703,12/15/2022,1,hurricane,China,2022-12-15 00:00:00
Tres-Zap,124.9017692,6.3524753,7/6/2023,8,hurricane,Philippines,2023-07-06 00:00:00
Konklux,114.498761,37.444498,9/20/2023,4,earthquake,China,2023-09-20 00:00:00
Holdlamis,121.0927689,16.3513442,3/27/2023,7,earthquake,Philippines,2023-03-27 00:00:00
Voyatouch,2.0776887,41.4904044,11/26/2022,10,earthquake,Spain,2022-11-26 00:00:00
Tampflex,-16.4405872,13.81425,12/8/2022,3,earthquake,Senegal,2022-12-08 00:00:00
Overhold,23.1684533,48.9339587,12/23/2022,6,flood,Ukraine,2022-12-23 00:00:00
Home Ing,19.8365034,49.7266083,10/8/2022,5,flood,Poland,2022-10-08 00:00:00
Treeflex,124.8905151,-9.0933664,5/31/2023,6,tornado,Indonesia,2023-05-31 00:00:00
Solarbreeze,-73.583333,-13.308333,9/26/2023,9,hurricane,Peru,2023-09-26 00:00:00
Zathin,110.7880536,-6.8243672,5/4/2023,9,flood,Indonesia,2023-05-04 00:00:00
Transcof,69.2281531,33.6042793,2/9/2023,2,earthquake,Afghanistan,2023-02-09 00:00:00
It,121.1870788,14.5966665,4/3/2023,10,earthquake,Philippines,2023-04-03 00:00:00
Prodder,106.2327247,21.3392818,2/22/2023,10,flood,Vietnam,2023-02-22 00:00:00
Quo Lux,25.2708919,60.3763373,5/12/2023,2,tornado,Finland,2023-05-12 00:00:00
Fixflex,-9.3264629,38.6871727,7/31/2023,4,hurricane,Portugal,2023-07-31 00:00:00
Alpha,8.9714623,44.3972703,8/28/2023,5,earthquake,Italy,2023-08-28 00:00:00
Flexidy,104.470164,1.008763,1/11/2023,4,hurricane,Indonesia,2023-01-11 00:00:00
Rank,36.9565089,-7.703889,2/3/2023,8,earthquake,Tanzania,2023-02-03 00:00:00
Zamit,15.7509093,46.1649072,2/2/2023,4,earthquake,Croatia,2023-02-02 00:00:00
Tresom,116.365867,39.912288,3/12/2023,5,earthquake,China,2023-03-12 00:00:00
Otcom,25.6100339,57.331693,6/16/2023,3,flood,Latvia,2023-06-16 00:00:00
Quo Lux,53.0515402,51.7059957,11/8/2022,8,earthquake,Russia,2022-11-08 00:00:00
Pannier,-74.0028364,18.1817674,7/2/2023,3,hurricane,Haiti,2023-07-02 00:00:00
Regrant,-7.5618071,40.1872593,2/14/2023,4,hurricane,Portugal,2023-02-14 00:00:00
Y-find,21.6682269,38.1625093,9/25/2023,2,flood,Greece,2023-09-25 00:00:00
Wrapsafe,-58.5616502,-34.6698749,4/27/2023,7,earthquake,Argentina,2023-04-27 00:00:00
Zoolab,49.8739267,11.4720137,1/5/2023,8,tornado,Somalia,2023-01-05 00:00:00
Redhold,31.5370003,-0.7069135,9/23/2023,8,tornado,Uganda,2023-09-23 00:00:00
Fixflex,100.2625222,16.75245,3/6/2023,9,flood,Thailand,2023-03-06 00:00:00
Zamit,-84.1685232,9.9825621,2/6/2023,9,flood,Costa Rica,2023-02-06 00:00:00
Viva,116.554665,40.570338,12/5/2022,4,hurricane,China,2022-12-05 00:00:00
Namfix,108.2496145,-7.0370275,1/6/2023,10,hurricane,Indonesia,2023-01-06 00:00:00
Gembucket,6.798413,11.01088,11/10/2022,5,earthquake,Nigeria,2022-11-10 00:00:00
Span,-74.6400432,7.5522902,11/15/2022,2,earthquake,Colombia,2022-11-15 00:00:00
Job,-72.6131562,-40.6607937,1/18/2023,6,tornado,Chile,2023-01-18 00:00:00
Zontrax,116.30275,29.657856,2/17/2023,8,hurricane,China,2023-02-17 00:00:00
Matsoft,-79.4956974,22.0808448,4/5/2023,5,tornado,Cuba,2023-04-05 00:00:00
Konklab,37.7144645,-3.7688094,11/13/2022,8,hurricane,Tanzania,2022-11-13 00:00:00
Wrapsafe,113.4895468,23.3854292,4/14/2023,3,flood,China,2023-04-14 00:00:00
Daltfresh,114.137862,22.541373,4/1/2023,10,flood,China,2023-04-01 00:00:00
Cookley,28.2765218,48.2441219,6/16/2023,2,tornado,Ukraine,2023-06-16 00:00:00
Greenlam,17.3583673,44.9532375,4/1/2023,3,tornado,Bosnia and Herzegovina,2023-04-01 00:00:00
Overhold,123.5560069,-8.3848454,2/3/2023,1,flood,Indonesia,2023-02-03 00:00:00
Bitwolf,-62.7250402,17.3239734,11/15/2022,1,tornado,Saint Kitts and Nevis,2022-11-15 00:00:00
Flexidy,112.497228,27.955261,7/8/2023,8,earthquake,China,2023-07-08 00:00:00
Y-Solowarm,71.4061876,35.0021932,12/11/2022,4,hurricane,Afghanistan,2022-12-11 00:00:00
Fix San,-71.459344,46.747041,9/18/2023,4,hurricane,Canada,2023-09-18 00:00:00
Toughjoyfax,125.243313,5.742809,10/23/2022,10,hurricane,Philippines,2022-10-23 00:00:00
Lotstring,47.040538,38.864241,3/30/2023,2,hurricane,Iran,2023-03-30 00:00:00
Bigtax,88.6331758,25.6279123,3/11/2023,9,flood,Bangladesh,2023-03-11 00:00:00
Voltsillam,-77.7312977,39.7164885,7/24/2023,10,earthquake,United States,2023-07-24 00:00:00
Subin,9.2841023,7.1657856,1/20/2023,6,tornado,Nigeria,2023-01-20 00:00:00
Toughjoyfax,123.906,-10.1331,10/2/2022,6,flood,Indonesia,2022-10-02 00:00:00
Lotstring,114.498761,37.444498,4/20/2023,8,tornado,China,2023-04-20 00:00:00
Y-find,-72.317793,19.6808413,6/17/2023,5,flood,Haiti,2023-06-17 00:00:00
Zathin,-48.1199217,-23.176636,3/18/2023,10,flood,Brazil,2023-03-18 00:00:00
Overhold,102.665768,24.414825,7/23/2023,8,hurricane,China,2023-07-23 00:00:00
Span,42.0384264,44.2220765,3/22/2023,7,earthquake,Russia,2023-03-22 00:00:00
Stronghold,-61.5325824,10.6693395,8/20/2023,10,tornado,Trinidad and Tobago,2023-08-20 00:00:00
Daltfresh,-76.87192,0.66643,6/28/2023,7,tornado,Colombia,2023-06-28 00:00:00
Gembucket,110.5934986,-7.6622643,9/12/2023,2,flood,Indonesia,2023-09-12 00:00:00
Bamity,105.96282,32.323256,11/21/2022,2,tornado,China,2022-11-21 00:00:00
Stronghold,2.3405004,48.8753655,7/2/2023,9,hurricane,France,2023-07-02 00:00:00
Ventosanzap,16.5529968,59.3703069,6/17/2023,2,earthquake,Sweden,2023-06-17 00:00:00
Prodder,108.525539,-7.0130494,1/3/2023,7,hurricane,Indonesia,2023-01-03 00:00:00
Zoolab,125.5668499,41.733296,6/22/2023,9,earthquake,China,2023-06-22 00:00:00
Cardguard,19.9864728,51.2568887,10/7/2022,5,earthquake,Poland,2022-10-07 00:00:00
Voltsillam,21.5535126,51.6919243,1/2/2023,10,tornado,Poland,2023-01-02 00:00:00
Bytecard,17.3434944,49.6052603,9/14/2023,8,tornado,Czechia,2023-09-14 00:00:00
Lotlux,-61.444406,15.444313,7/14/2023,3,tornado,Dominica,2023-07-14 00:00:00
Konklux,-105.03443,51.85006,4/16/2023,3,earthquake,Canada,2023-04-16 00:00:00
Pannier,24.9872821,-8.7368981,12/9/2022,7,earthquake,Democratic Republic of the Congo,2022-12-09 00:00:00
